Time [s],Value,Parity Error,Framing Error
0,0x01,,
6.66666666666667e-006,0x09,,
1.33333333333333e-005,0x04,,
2e-005,0x07,,
2.66666666666667e-005,0x41,,
3.33333333333333e-005,0x8B,,
4e-005,0x76,,
4.66666666666667e-005,0xAB,,
5.33333333333333e-005,0xE3,,
6e-005,0x88,,
6.66666666666667e-005,0x01,,
0.0139285,0x01,,
0.0139351666666667,0x1A,,
0.0139418333333333,0x0C,,
0.0139485,0x01,,
0.0139551666666667,0x00,,
0.0630425,0x02,,
0.0630491666666667,0x02,,
0.0630558333333333,0x00,,
0.0630625,0x0A,,
0.0630691666666667,0x00,,
0.0630759166666667,0x06,,
0.0630825833333333,0x00,,
0.06308925,0x01,,
0.0630959166666667,0x00,,
0.0631025833333333,0x0A,,
0.06310925,0x0D,,
0.0631159166666667,0x02,,
0.0631225833333333,0x00,,
0.06312925,0x02,,
0.0631359166666667,0x00,,
0.113271166666667,0x02,,
0.113277833333333,0x02,,
0.1132845,0x00,,
0.113291166666667,0x0A,,
0.113297833333333,0x00,,
0.1133045,0x06,,
0.113311166666667,0x00,,
0.113317833333333,0x01,,
0.1133245,0x00,,
0.113331166666667,0x0A,,
0.113337833333333,0x0E,,
0.1133445,0x02,,
0.113351166666667,0x00,,
0.113357833333333,0x03,,
0.1133645,0x00,,
0.187893916666667,0x01,,
0.187900583333333,0x2B,,
0.18790725,0x04,,
0.187913916666667,0x09,,
0.187920583333333,0x41,,
0.18792725,0x8B,,
0.187933916666667,0x76,,
0.187940583333333,0xAB,,
0.18794725,0xE3,,
0.187953916666667,0x88,,
0.187960583333333,0x03,,
0.18796725,0x00,,
0.187973916666667,0x03,,
0.28935175,0x01,,
0.289358416666667,0x2C,,
0.289365083333333,0x04,,
0.28937175,0x06,,
0.289378416666667,0x41,,
0.289385083333333,0x8B,,
0.28939175,0x76,,
0.289398416666667,0xAB,,
0.289405083333333,0xE3,,
0.28941175,0x88,,
0.81279175,0x01,,
0.812798416666667,0x19,,
0.812805083333333,0x04,,
0.81281175,0x0A,,
0.812818416666667,0x41,,
0.812825083333333,0x8B,,
0.81283175,0x76,,
0.812838416666667,0xAB,,
0.812845083333333,0xE3,,
0.81285175,0x88,,
0.812858416666667,0x02,,
0.812865083333333,0x00,,
0.81287175,0x00,,
0.812878416666667,0x00,,
1.32091791666667,0x02,,
1.32092458333333,0x02,,
1.32093125,0x00,,
1.32093791666667,0x10,,
1.32094458333333,0x00,,
1.32095125,0x0C,,
1.32095791666667,0x00,,
1.32096458333333,0x01,,
1.32097125,0x00,,
1.32097791666667,0x03,,
1.32098458333333,0x19,,
1.32099125,0x08,,
1.32099791666667,0x00,,
1.32100458333333,0x48,,
1.32101125,0x00,,
1.32101791666667,0x41,,
1.32102458333333,0x00,,
1.32103125,0x00,,
1.32103791666667,0x00,,
1.32104458333333,0x00,,
1.32105125,0x00,,
1.32108833333333,0x02,,
1.321095,0x02,,
1.32110166666667,0x00,,
1.32110833333333,0x10,,
1.321115,0x00,,
1.32112166666667,0x0C,,
1.32112833333333,0x00,,
1.321135,0x01,,
