Time [s],Value,Parity Error,Framing Error
-0.175035333333333,0x04,,
-0.175028666666667,0x04,,
-0.175022083333333,0x0A,,
-0.175015416666667,0x41,,
-0.17500875,0x8B,,
-0.175002083333333,0x76,,
-0.174995416666667,0xAB,,
-0.174988833333333,0xE3,,
-0.174982166666667,0x88,,
-0.1749755,0x0C,,
-0.174968833333333,0x02,,
-0.174962166666667,0x5A,,
-0.174955583333333,0x01,,
0.00143391666666667,0x04,,
0.00144058333333333,0x0F,,
0.00144725,0x04,,
0.00145391666666667,0x00,,
0.00146058333333333,0x02,,
0.00146716666666667,0x09,,
0.00147383333333333,0x04,,
0.00680208333333333,0x04,,
0.00680875,0x03,,
0.00681541666666667,0x0B,,
0.00682208333333333,0x00,,
0.00682866666666667,0x02,,
0.00683533333333333,0x00,,
0.006842,0x41,,
0.00684866666666667,0x8B,,
0.00685533333333333,0x76,,
0.00686191666666667,0xAB,,
0.00686858333333333,0xE3,,
0.00687525,0x88,,
0.00688191666666667,0x01,,
0.00688858333333333,0x00,,
0.0202836666666667,0x04,,
0.0202903333333333,0x0E,,
0.020297,0x04,,
0.0203036666666667,0x02,,
0.0203103333333333,0x1A,,
0.0203169166666667,0x0C,,
0.0203235833333333,0x00,,
0.06647,0x04,,
0.0664766666666667,0x13,,
0.06648325,0x05,,
0.0664899166666667,0x01,,
0.0664965833333333,0x02,,
0.06650325,0x00,,
0.0665099166666667,0x01,,
0.0665165,0x00,,
0.0766521666666667,0x02,,
0.0766588333333333,0x02,,
0.0766654166666667,0x20,,
0.0766720833333333,0x10,,
0.07667875,0x00,,
0.0766854166666667,0x0C,,
0.0766920833333333,0x00,,
0.07669875,0x01,,
0.0767053333333333,0x00,,
0.076712,0x0B,,
0.0767186666666667,0x0D,,
0.0767253333333333,0x08,,
0.076732,0x00,,
0.0767385833333333,0x02,,
0.07674525,0x00,,
0.0767519166666667,0x00,,
0.0767585833333333,0x00,,
0.07676525,0xFB,,
0.0767718333333333,0x02,,
0.0767785,0x00,,
0.0767851666666667,0x00,,
0.1164645,0x04,,
0.116471166666667,0x13,,
0.116477833333333,0x05,,
0.1164845,0x01,,
0.116491083333333,0x02,,
0.11649775,0x00,,
0.116504416666667,0x01,,
0.116511083333333,0x00,,
0.1314255,0x02,,
0.131432083333333,0x02,,
0.13143875,0x20,,
0.131445416666667,0x14,,
0.131452083333333,0x00,,
0.13145875,0x10,,
0.131465333333333,0x00,,
0.131472,0x01,,
0.131478666666667,0x00,,
0.131485333333333,0x0B,,
0.131492,0x0E,,
0.131498583333333,0x0C,,
0.13150525,0x00,,
0.131511916666667,0x03,,
0.131518583333333,0x00,,
0.13152525,0x00,,
0.131531916666667,0x00,,
0.1315385,0x0E,,
0.131545166666667,0x00,,
0.131551833333333,0x00,,
0.1315585,0x00,,
0.131565166666667,0x00,,
0.13157175,0x00,,
0.131578416666667,0x00,,
0.131585083333333,0x00,,
0.15579375,0x04,,
0.155800416666667,0x32,,
0.155807,0x09,,
0.155813666666667,0x41,,
0.155820333333333,0x8B,,
0.155827,0x76,,
0.155833666666667,0xAB,,
0.15584025,0xE3,,
0.155846916666667,0x88,,
0.155853583333333,0x01,,
0.15586025,0x00,,
0.155866916666667,0x03,,
0.156337666666667,0x04,,
0.156344333333333,0x31,,
0.156351,0x06,,
0.156357666666667,0x41,,
0.156364333333333,0x8B,,
0.156370916666667,0x76,,
0.156377583333333,0xAB,,
0.15638425,0xE3,,
0.156390916666667,0x88,,
0.188888083333333,0x04,,
0.18889475,0x0E,,
0.188901416666667,0x0A,,
0.188908083333333,0x02,,
0.18891475,0x2B,,
0.188921333333333,0x04,,
0.188928,0x00,,
0.188934666666667,0x41,,
0.188941333333333,0x8B,,
0.188948,0x76,,
0.188954666666667,0xAB,,
0.18896125,0xE3,,
0.188967916666667,0x88,,
0.257773,0x04,,
0.257779666666667,0x33,,
0.257786333333333,0x0A,,
0.257793,0x41,,
0.257799583333333,0x8B,,
0.25780625,0x76,,
0.257812916666667,0xAB,,
0.257819583333333,0xE3,,
0.25782625,0x88,,
0.257832833333333,0xB8,,
0.2578395,0x90,,
0.257846166666667,0x02,,
0.257852833333333,0x00,,
0.7072205,0x04,,
0.707227166666667,0x0E,,
0.707233833333333,0x0A,,
0.7072405,0x02,,
0.707247166666667,0x2C,,
0.70725375,0x04,,
0.707260416666667,0x00,,
0.707267083333333,0x41,,
0.70727375,0x8B,,
0.707280416666667,0x76,,
0.707287083333333,0xAB,,
0.707293666666667,0xE3,,
0.707300333333333,0x88,,
0.717510083333333,0x04,,
0.71751675,0x36,,
0.717523333333333,0x07,,
0.71753,0x00,,
0.717536666666667,0x41,,
0.717543333333333,0x8B,,
0.71755,0x76,,
0.717556666666667,0xAB,,
0.71756325,0xE3,,
0.717569916666667,0x88,,
0.74507775,0x04,,
0.745084416666667,0x18,,
0.745091083333333,0x17,,
0.745097666666667,0x41,,
0.745104333333333,0x8B,,
0.745111,0x76,,
0.745117666666667,0xAB,,
0.745124333333333,0xE3,,
0.745130916666667,0x88,,
0.745137583333333,0xAF,,
0.74514425,0xDB,,
0.745150916666667,0x99,,
0.745157583333333,0xA3,,
0.745164166666667,0xFE,,
0.745170833333333,0xDB,,
0.7451775,0xA4,,
0.745184166666667,0xA1,,
0.745190833333333,0xF7,,
0.7451975,0xB8,,
0.745204083333333,0x88,,
0.74521075,0xF0,,
0.745217416666667,0xCE,,
0.745224083333333,0x19,,
0.74523075,0x55,,
0.745237333333333,0xA0,,
0.745244,0x04,,
0.813714333333333,0x04,,
0.813720916666667,0x0F,,
0.813727583333333,0x04,,
0.81373425,0x00,,
0.813740916666667,0x02,,
0.813747583333333,0x19,,
0.81375425,0x04,,
0.83371,0x04,,
0.833716666666667,0x07,,
